harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
180,century,8_9,W,3,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,84.56,fresh_wt,tonnes/ha
181,century,1_1,E,1,summer,2002-08-31,2002,LMT,red_fruit,solanum_lycopersicum,82.7,fresh_wt,tonnes/ha
182,century,1_1,W,1,summer,2002-08-31,2002,LMT,red_fruit,solanum_lycopersicum,84.398,fresh_wt,tonnes/ha
183,century,1_2,E,1,summer,2001-09-05,2001,OMT,red_fruit,solanum_lycopersicum,54.325,fresh_wt,tonnes/ha
184,century,1_2,W,1,summer,2001-09-05,2001,OMT,red_fruit,solanum_lycopersicum,55.619,fresh_wt,tonnes/ha
185,century,1_4,E,1,summer,2001-08-28,2001,CMT,red_fruit,solanum_lycopersicum,56.487,fresh_wt,tonnes/ha
186,century,1_4,W,1,summer,2001-08-28,2001,CMT,red_fruit,solanum_lycopersicum,60.677,fresh_wt,tonnes/ha
187,century,1_5,E,1,summer,2001-09-05,2001,CWT,red_fruit,solanum_lycopersicum,64.893,fresh_wt,tonnes/ha
188,century,1_5,W,1,summer,2001-09-05,2001,CWT,red_fruit,solanum_lycopersicum,58.142,fresh_wt,tonnes/ha
189,century,2_2,E,1,summer,2001-09-05,2001,TR,red_fruit,solanum_lycopersicum,36.425,fresh_wt,tonnes/ha
190,century,2_2,W,1,summer,2001-09-05,2001,TR,red_fruit,solanum_lycopersicum,41.729,fresh_wt,tonnes/ha
191,century,2_4,E,1,summer,2001-08-28,2001,LMT,red_fruit,solanum_lycopersicum,55.318,fresh_wt,tonnes/ha
192,century,2_4,W,1,summer,2001-08-28,2001,LMT,red_fruit,solanum_lycopersicum,51.94,fresh_wt,tonnes/ha
193,century,4_3,E,2,summer,2001-09-05,2001,CWT,red_fruit,solanum_lycopersicum,48.094,fresh_wt,tonnes/ha
194,century,4_3,W,2,summer,2001-09-05,2001,CWT,red_fruit,solanum_lycopersicum,50.444,fresh_wt,tonnes/ha
195,century,4_4,E,2,summer,2001-09-05,2001,LMT,red_fruit,solanum_lycopersicum,63.455,fresh_wt,tonnes/ha
196,century,4_4,W,2,summer,2001-09-05,2001,LMT,red_fruit,solanum_lycopersicum,64.551,fresh_wt,tonnes/ha
197,century,5_4,E,2,summer,2001-08-28,2001,UN,red_fruit,solanum_lycopersicum,62.36,fresh_wt,tonnes/ha
198,century,5_4,W,2,summer,2001-08-28,2001,UN,red_fruit,solanum_lycopersicum,57.72,fresh_wt,tonnes/ha
199,century,5_5,E,2,summer,2001-08-28,2001,CMT,red_fruit,solanum_lycopersicum,60.691,fresh_wt,tonnes/ha
200,century,5_5,W,2,summer,2001-08-28,2001,CMT,red_fruit,solanum_lycopersicum,69.209,fresh_wt,tonnes/ha
201,century,5_7,E,3,summer,2001-09-05,2001,TR,red_fruit,solanum_lycopersicum,57.345,fresh_wt,tonnes/ha
202,century,5_7,W,3,summer,2001-09-05,2001,TR,red_fruit,solanum_lycopersicum,51.971,fresh_wt,tonnes/ha
203,century,6_5,E,2,summer,2001-09-05,2001,OMT,red_fruit,solanum_lycopersicum,74.551,fresh_wt,tonnes/ha
204,century,6_5,W,2,summer,2001-09-05,2001,OMT,red_fruit,solanum_lycopersicum,72.806,fresh_wt,tonnes/ha
